NumerSali,LimitMiejsc
1,10
2,24
3,18
4,24
5,17
6,30
7,28
8,15
9,10
10,22
11,20
12,15
13,30
14,13
15,12
16,16
17,15
18,23
19,29
20,20
21,13
22,26
23,26
24,12
25,11
26,19
27,23
28,27
29,13
30,16
31,21
32,28
33,27
34,10
35,27
36,30
37,24
38,10
39,21
40,13
41,27
42,27
43,19
44,13
45,23
46,25
47,12
48,21
49,20
50,20
51,16
52,30
53,15
54,18
55,11
56,25
57,21
58,29
59,23
60,21
61,23
62,22
63,10
64,13
65,27
66,27
67,27
68,25
69,18
70,30
71,23
72,18
73,15
74,13
75,21
76,16
77,22
78,17
79,27
80,14
81,25
82,15
83,14
84,25
85,16
86,25
87,11
88,16
89,12
90,21
91,15
92,15
93,14
94,15
95,17
96,23
97,21
98,10
99,14
100,22
101,19
102,14
103,20
104,10
105,19
106,25
107,30
108,24
109,11
110,22
111,23
112,18
113,27
114,17
115,14
116,24
117,21
118,26
119,18
120,14
121,26
122,14
123,29
124,19
125,26
126,18
127,17
128,28
129,26
130,30
131,23
132,22
133,29
134,12
135,18
136,28
137,24
138,20
139,17
140,17
141,12
142,26
143,25
144,22
145,11
146,11
147,27
148,19
149,19
150,30
151,25
152,25
153,11
154,22
155,17
156,26
157,30
158,20
159,29
160,27
161,19
162,29
163,13
164,29
165,14
166,29
167,23
168,27
169,24
170,26
171,17
172,25
173,16
174,20
175,24
176,17
177,17
178,21
179,28
180,23
181,16
182,23
183,27
184,10
185,26
186,23
187,16
188,17
189,20
190,20
191,10
192,10
193,10
194,27
195,26
196,25
197,19
198,12
199,14
200,26
201,23
202,28
203,16
204,25
205,17
206,11
207,16
208,19
209,16
210,14
211,12
212,24
213,30
214,29
215,24
216,27
217,15
218,16
219,16
220,15
221,14
222,15
223,14
224,27
225,17
226,24
227,13
228,23
229,14
230,15
231,29
232,10
233,10
234,30
235,26
236,11
237,29
238,16
239,15
240,30
241,29
242,23
243,29
244,25
245,18
246,11
247,11
248,19
249,20
250,21
251,24
252,28
253,25
254,30
255,13
256,16
257,15
258,21
259,26
260,21
261,27
262,25
263,22
264,15
265,21
266,26
267,23
268,22
269,10
270,19
271,20
272,16
273,15
274,28
275,25
276,13
277,29
278,16
279,24
280,11
281,11
282,12
283,27
284,28
285,27
286,29
287,16
288,10
289,24
290,11
291,20
292,22
293,21
294,15
295,15
296,20
297,29
298,21
299,30
300,12
301,19
302,13
303,27
304,15
305,28
306,13
307,12
308,18
309,19
310,24
311,10
312,22
313,16
314,29
315,11
316,22
317,25
318,10
319,26
320,10
321,18
322,16
323,19
324,30
325,12
326,19
327,14
328,25
329,15
330,25
331,24
332,29
333,22
334,22
335,24
336,17
337,22
338,15
339,19
340,25
341,28
342,14
343,22
344,10
345,16
346,19
347,18
348,16
349,30
350,27
351,13
352,12
353,30
354,26
355,27
356,30
357,16
358,21
359,24
360,16
361,19
362,30
363,12
364,13
365,29
366,17
367,13
368,14
369,22
370,11
371,26
372,23
373,18
374,25
375,11
376,10
377,22
378,14
379,17
380,14
381,21
382,30
383,13
384,14
385,29
386,24
387,26
388,15
389,26
390,18
391,13
392,18
393,29
394,28
395,17
396,27
397,13
398,19
399,11
400,20
401,23
402,11
403,29
404,24
405,28
406,24
407,10
408,30
409,19
410,25
411,15
412,23
413,18
414,23
415,14
416,24
417,22
418,24
419,21
420,25
421,15
422,26
423,19
424,30
425,12
426,16
427,11
428,21
429,13
430,12
431,26
432,20
433,27
434,28
435,17
436,30
437,12
438,10
439,10
440,11
441,16
442,21
443,12
444,23
445,26
446,14
447,25
448,28
449,19
450,18
451,23
452,18
453,22
454,22
455,29
456,17
457,14
458,14
459,22
460,23
461,16
462,10
463,17
464,30
465,16
466,23
467,23
468,13
469,21
470,11
471,21
472,13
473,25
474,19
475,20
476,23
477,15
478,30
479,12
480,28
481,21
482,18
483,12
484,19
485,11
486,23
487,13
488,14
489,23
490,28
491,19
492,16
493,11
494,30
495,22
496,24
497,24
498,18
499,27
500,26
501,12
502,26
503,28
504,21
505,27
506,15
507,14
508,23
509,18
510,11
511,12
512,16
513,25
514,25
515,11
516,17
517,22
518,26
519,14
520,14
521,11
522,28
523,10
524,21
525,15
526,21
527,26
528,17
529,12
530,28
531,27
532,22
533,29
534,23
535,26
536,29
537,11
538,10
539,22
540,24
541,15
542,29
543,23
544,20
545,13
546,10
547,30
548,18
549,19
550,29
551,14
552,11
553,23
554,13
555,16
556,19
557,20
558,16
559,25
560,17
561,13
562,16
563,16
564,11
565,15
566,11
567,12
568,15
569,25
