ZajeciaID,NumerSali,NumerPracownika,TypZajecID,CzasTrwania,DataZajec,Godzina
1,6,WNJUAL9941,8,60,2022-10-10,10:00
2,1,WNDAHO2069,1,45,2022-12-24,08:00
3,3,WNJEWI8408,6,60,2023-10-10,16:00
4,2,WNMESM8881,7,90,2025-10-24,12:00
5,1,WNJUAL9941,2,75,2025-05-11,08:00
6,5,WNMESM8881,6,90,2024-09-01,16:00
7,7,WNMESM8881,6,60,2025-04-22,08:00
8,5,WNJEWI8408,3,90,2023-12-24,16:00
9,5,WNJUAL9941,8,75,2025-05-25,16:00
10,8,WNJUAL9941,4,90,2023-09-05,12:00
11,8,WNMESM8881,6,90,2022-09-19,10:00
12,3,WNDAHO2069,5,75,2024-03-04,16:00
13,7,WNJUAL9941,2,45,2022-05-23,08:00
14,7,WNJEWI8408,6,90,2022-01-17,06:00
15,6,WNKOKR1653,8,75,2022-04-06,16:00
16,7,WNJEWI8408,8,90,2023-09-28,18:00
17,7,WNKOKR1653,2,45,2025-01-27,10:00
18,6,WNJUAL9941,8,60,2024-10-11,06:00
19,2,WNJUAL9941,8,45,2024-11-10,18:00
20,5,WNKOKR1653,5,45,2023-12-18,12:00
21,1,WNKOKR1653,1,90,2022-04-04,16:00
22,8,WNKOKR1653,3,75,2023-10-12,06:00
23,8,WNKOKR1653,7,60,2023-06-06,18:00
24,2,WNJUAL9941,3,75,2023-07-24,08:00
25,1,WNDAHO2069,8,75,2023-11-22,08:00
26,1,WNDAHO2069,8,45,2024-12-23,18:00
27,5,WNJEWI8408,3,75,2025-02-19,06:00
28,7,WNMESM8881,4,60,2024-11-23,16:00
29,2,WNDAHO2069,6,90,2022-01-11,20:00
30,7,WNJEWI8408,7,45,2025-10-26,10:00
31,4,WNKOKR1653,7,45,2022-05-22,06:00
32,5,WNROAN5314,5,45,2025-09-25,12:00
33,4,WNDABI7603,4,75,2024-05-09,08:00
34,7,WNROTA2078,4,75,2025-07-19,16:00
35,7,WNLISZ9342,2,75,2024-05-31,06:00
36,3,WNJEWI8408,5,45,2024-05-18,18:00
37,4,WNMESM8881,6,75,2022-12-19,10:00
38,3,WNROTA2078,1,45,2023-10-07,16:00
39,4,WNDAHO2069,8,60,2025-10-14,10:00
40,6,WNDABI7603,6,45,2024-12-16,20:00
41,5,WNDAHO2069,6,90,2022-05-25,18:00
42,6,WNKOKR1653,7,75,2023-12-17,12:00
43,8,WNLISZ9342,3,90,2022-03-23,06:00
44,6,WNROTA2078,2,75,2022-01-04,10:00
45,5,WNROTA2078,7,75,2025-07-01,12:00
46,3,WNKOKR1653,7,45,2023-05-03,08:00
47,3,WNROAN5314,5,60,2025-01-23,18:00
48,2,WNMESM8881,5,60,2023-12-25,20:00
49,2,WNOLCH4019,5,60,2024-01-28,08:00
50,5,WNROTA2078,7,90,2025-07-19,08:00
