ID_Data;Data;Rok;Miesiac;NumerMiesiaca;Dzien;DzienTygodnia;NumerDniaTygodnia;Weekend;Swieto;Wakacje
1;2022-01-01;2022;January;1;1;Saturday;6;weekend;Nowy Rok;brak wakacji
2;2022-01-02;2022;January;1;2;Sunday;7;weekend;brak święta;brak wakacji
3;2022-01-03;2022;January;1;3;Monday;1;dzień pracujący;brak święta;brak wakacji
4;2022-01-04;2022;January;1;4;Tuesday;2;dzień pracujący;brak święta;brak wakacji
5;2022-01-05;2022;January;1;5;Wednesday;3;dzień pracujący;brak święta;brak wakacji
6;2022-01-06;2022;January;1;6;Thursday;4;dzień pracujący;Święto Trzech Króli;brak wakacji
7;2022-01-07;2022;January;1;7;Friday;5;dzień pracujący;brak święta;brak wakacji
8;2022-01-08;2022;January;1;8;Saturday;6;weekend;brak święta;brak wakacji
9;2022-01-09;2022;January;1;9;Sunday;7;weekend;brak święta;brak wakacji
10;2022-01-10;2022;January;1;10;Monday;1;dzień pracujący;brak święta;brak wakacji
11;2022-01-11;2022;January;1;11;Tuesday;2;dzień pracujący;brak święta;brak wakacji
12;2022-01-12;2022;January;1;12;Wednesday;3;dzień pracujący;brak święta;brak wakacji
13;2022-01-13;2022;January;1;13;Thursday;4;dzień pracujący;brak święta;brak wakacji
14;2022-01-14;2022;January;1;14;Friday;5;dzień pracujący;brak święta;brak wakacji
15;2022-01-15;2022;January;1;15;Saturday;6;weekend;brak święta;brak wakacji
16;2022-01-16;2022;January;1;16;Sunday;7;weekend;brak święta;brak wakacji
17;2022-01-17;2022;January;1;17;Monday;1;dzień pracujący;brak święta;brak wakacji
18;2022-01-18;2022;January;1;18;Tuesday;2;dzień pracujący;brak święta;brak wakacji
19;2022-01-19;2022;January;1;19;Wednesday;3;dzień pracujący;brak święta;brak wakacji
20;2022-01-20;2022;January;1;20;Thursday;4;dzień pracujący;brak święta;brak wakacji
21;2022-01-21;2022;January;1;21;Friday;5;dzień pracujący;brak święta;brak wakacji
22;2022-01-22;2022;January;1;22;Saturday;6;weekend;brak święta;brak wakacji
23;2022-01-23;2022;January;1;23;Sunday;7;weekend;brak święta;brak wakacji
24;2022-01-24;2022;January;1;24;Monday;1;dzień pracujący;brak święta;brak wakacji
25;2022-01-25;2022;January;1;25;Tuesday;2;dzień pracujący;brak święta;brak wakacji
26;2022-01-26;2022;January;1;26;Wednesday;3;dzień pracujący;brak święta;brak wakacji
27;2022-01-27;2022;January;1;27;Thursday;4;dzień pracujący;brak święta;brak wakacji
28;2022-01-28;2022;January;1;28;Friday;5;dzień pracujący;brak święta;brak wakacji
29;2022-01-29;2022;January;1;29;Saturday;6;weekend;brak święta;brak wakacji
30;2022-01-30;2022;January;1;30;Sunday;7;weekend;brak święta;brak wakacji
31;2022-01-31;2022;January;1;31;Monday;1;dzień pracujący;brak święta;brak wakacji
32;2022-02-01;2022;February;2;1;Tuesday;2;dzień pracujący;brak święta;ferie zimowe
33;2022-02-02;2022;February;2;2;Wednesday;3;dzień pracujący;brak święta;ferie zimowe
34;2022-02-03;2022;February;2;3;Thursday;4;dzień pracujący;brak święta;ferie zimowe
35;2022-02-04;2022;February;2;4;Friday;5;dzień pracujący;brak święta;ferie zimowe
36;2022-02-05;2022;February;2;5;Saturday;6;weekend;brak święta;ferie zimowe
37;2022-02-06;2022;February;2;6;Sunday;7;weekend;brak święta;ferie zimowe
38;2022-02-07;2022;February;2;7;Monday;1;dzień pracujący;brak święta;ferie zimowe
39;2022-02-08;2022;February;2;8;Tuesday;2;dzień pracujący;brak święta;ferie zimowe
40;2022-02-09;2022;February;2;9;Wednesday;3;dzień pracujący;brak święta;ferie zimowe
41;2022-02-10;2022;February;2;10;Thursday;4;dzień pracujący;brak święta;ferie zimowe
42;2022-02-11;2022;February;2;11;Friday;5;dzień pracujący;brak święta;ferie zimowe
43;2022-02-12;2022;February;2;12;Saturday;6;weekend;brak święta;ferie zimowe
44;2022-02-13;2022;February;2;13;Sunday;7;weekend;brak święta;ferie zimowe
45;2022-02-14;2022;February;2;14;Monday;1;dzień pracujący;brak święta;ferie zimowe
46;2022-02-15;2022;February;2;15;Tuesday;2;dzień pracujący;brak święta;ferie zimowe
47;2022-02-16;2022;February;2;16;Wednesday;3;dzień pracujący;brak święta;brak wakacji
48;2022-02-17;2022;February;2;17;Thursday;4;dzień pracujący;brak święta;brak wakacji
